Scheme Name,Description,Eligibility Criteria,Required Documents,Application Process,Sector,URL
Agnipath Scheme,"A recruitment initiative by the Government of India for the Indian Armed Forces, allowing young individuals to serve as Agniveers on a short-term contractual basis for four years, with the aim of modernizing the forces and providing youth with skills and discipline.",Age: 17.5 to 21 years; Educational Qualification: Minimum 10th or 12th pass (varies by role); Must meet physical and medical standards set by the Armed Forces.,Educational certificates; Birth certificate; Address proof; Caste certificate (if applicable); Medical fitness certificate.,Online registration through official portals of the Armed Forces; Appear for physical and written tests; Undergo medical examination.,Defense,https://164.100.158.23/AgnipathScheme.htm
PM Poshan Shakti Nirman Abhiyaan,Aims to enhance the nutritional status of children by providing hot cooked meals to school children under the Mid-Day Meal scheme.,Children enrolled in government and government-aided schools.,School enrollment records.,Provided automatically in schools; no separate application required.,Health & Nutrition,Pradhan Mantri Poshan Shakti Nirman (PM POSHAN) in India
PM SVANidhi,A micro-finance scheme providing loans to street vendors to support their businesses post-COVID-19 lockdowns.,Street vendors with a Certificate of Vending or ID issued by Urban Local Bodies.,Certificate of Vending or ID proof.,Apply through banks or online via the PM SVANidhi portal.,Social Welfare & Empowerment,https://pmsvanidhi.mohua.gov.in/
Strengthening Teaching-Learning and Results for States,A World Bank-supported project aimed at improving education quality in Indian states.,States and Union Territories participating in the program.,Not applicable for individuals.,Implemented through state education departments.,Education,https://dsel.education.gov.in/stars-project
Svamitva Yojana,Aims to provide property rights to rural residents by mapping their lands using drones.,Rural residents without legal property documents.,Proof of residence in rural areas.,Facilitated by local panchayats and government bodies.,Agriculture & Rural Development,http://www.svamitva.up.gov.in/
Garib Kalyan Rojgar Abhiyaan,Aimed at providing employment opportunities to migrant workers returning to their villages during the COVID-19 pandemic.,Migrant workers in identified districts.,Proof of migration and identity.,Implemented through local government offices.,Employment and Rural Development,https://rural.gov.in/en/press-release/garib-kalyan-rojgar-abhiyan
PM Matsya Sampada Yojana,"A scheme to enhance fish production, infrastructure, and income of fish farmers in India.","Fish farmers, fish workers, and fish vendors.",Fishing license or registration proof.,Apply through the Department of Fisheries or state portals.,Agriculture & Rural Development,https://pmmsy.dof.gov.in/
PM Kisan Samman Nidhi,"Provides income support of Rs. 6,000 annually to small and marginal farmers.",Small and marginal farmers owning cultivable land.,Land ownership records and Aadhaar card.,Apply online or through local agriculture offices.,Agriculture & Rural Development,https://pmkisan.gov.in/
Jal Jeevan Mission,Ensures functional tap water supply to every rural household.,Rural households in India.,Residence proof in rural areas.,Implemented through Gram Panchayats; no direct application required.,Environment & Water Management,https://jaljeevanmission.gov.in/
Atal Bhujal Yojana,Aims to improve groundwater management in water-stressed areas.,Communities in water-stressed regions.,Not applicable for individuals.,Implemented through local government bodies.,Environment & Water Management,https://ataljal.mowr.gov.in/
PM Kisan Urja Suraksha Evam Utthan Mahabhiyan,Promotes renewable energy for agriculture by subsidizing solar-powered pumps and grid-connected systems.,Farmers with cultivable land.,Land ownership proof and Aadhaar card.,Apply through state agriculture or renewable energy departments.,Agriculture & Rural Development,https://www.india.gov.in/spotlight/pm-kusum-pradhan-mantri-kisan-urja-suraksha-evam-utthaan-mahabhiyan-scheme
PM Shram Yogi Mandhan,"A pension scheme for unorganized sector workers, providing Rs. 3,000 monthly post-retirement.","Unorganized workers aged 18-40 years with monthly income below Rs. 15,000.","Aadhaar card, bank account details.",Enroll through Common Service Centres (CSCs).,Social Welfare & Empowerment,https://maandhan.in/
PM Annadata Aay Sanrakshan Abhiyan,Ensures remunerative prices for farmers' produce through MSP and other mechanisms.,Registered farmers selling produce in mandis.,Farmer ID and land records.,Implemented through state agriculture departments.,Agriculture & Rural Development,https://www.india.gov.in/spotlight/pradhan-mantri-annadata-aay-sanrakshan-abhiyan-pm-aasha
Ayushman Bharat Yojana,Provides health insurance coverage up to Rs. 5 lakh annually for economically disadvantaged families.,Families listed in the SECC database.,Aadhaar card and income certificate.,Automatically identified through the SECC database; no separate application needed.,Health & Nutrition,https://beneficiary.nha.gov.in/
Samagra Shiksha,"An integrated scheme for school education, focusing on pre-school to senior secondary levels.",Students in government schools.,School enrollment records.,Implemented through schools; no direct application required.,Education,https://samagra.education.gov.in/
PM Jan Vikas Karyakaram,Aims at socio-economic development of minority communities in backward districts.,Minority communities in identified areas.,Proof of residence and minority status.,Implemented through local development offices.,Social Welfare and Development,https://pmjvk.gov.in/
Rashtriya Gram Swaraj Abhiyan,Strengthens governance in rural local bodies by enhancing their capacities and resources.,Rural local bodies in India.,Not applicable for individuals.,Implemented through state and district administration.,Agriculture & Rural Development,https://rgsa.gov.in/
Saubhagya Yojana,Ensures last-mile electricity connectivity for households in rural and urban areas.,Households without electricity connections.,Residence proof.,Apply through local electricity boards.,Infrastructure & Urban Development,https://saubhagya.gov.in/
Krishonnati Yojana,Focuses on agricultural development and farmer welfare through various sub-schemes.,Farmers and agriculture-related stakeholders.,Land ownership proof and farmer ID.,Apply through local agriculture offices.,Agriculture & Rural Development,https://www.myscheme.gov.in/hi/schemes/ky-smsp
PM Matritva Vandana Yojana,Provides financial assistance to pregnant women and lactating mothers for their first child.,Pregnant women and lactating mothers not covered by other maternity benefit schemes.,"Pregnancy certificate, Aadhaar card, and bank account details.",Apply through Anganwadi centers or health facilities.,Women & Child Welfare,http://pmmvy.wcd.gov.in/
PM Kisan Samman Nidhi,"Provides financial support to small and marginal farmers with a direct benefit transfer of ₹6,000 annually.",Small and marginal farmers owning up to 2 hectares of land.,"Aadhaar card, land ownership documents, and bank account details.",Apply through the PM-Kisan official portal or state agricultural offices.,Agriculture & Rural Development,https://pmkisan.gov.in/
Pradhan Mantri Krishi Sinchayee Yojana,Aims to expand cultivable land under assured irrigation and improve water-use efficiency.,Farmers in identified areas requiring irrigation development.,Land ownership records and project details.,Implemented through state agriculture and irrigation departments.,Agriculture & Rural Development,https://pmksy.gov.in/
MGNREGA (Mahatma Gandhi National Rural Employment Guarantee Act),Ensures the right to work by providing at least 100 days of wage employment in rural areas.,Adult members of rural households willing to do unskilled manual work.,"Job card, Aadhaar card, and residence proof.",Apply through Gram Panchayats or the official portal.,Agriculture & Rural Development,https://nrega.nic.in/
National Rural Livelihood Mission (NRLM),Aims to reduce rural poverty by promoting self-employment and skill development.,Poor rural households identified through SECC data.,"Identity proof, income proof, and residence proof.",Implemented through local self-help groups (SHGs).,Agriculture & Rural Development,https://aajeevika.gov.in/
Sarva Shiksha Abhiyan (SSA),A flagship program for universalizing elementary education and improving its quality.,"Children aged 6-14 years, especially from marginalized sections.",Birth certificate and residence proof.,Enrollment facilitated by local schools and education authorities.,Education,https://www.aicte-india.org/reports/overview/Sarva-Shiksha-Abhiyan
Beti Bachao Beti Padhao,"Promotes the survival, protection, and education of the girl child.","All girl children, especially in districts with a low child sex ratio.","Birth certificate, residence proof.",Awareness campaigns and incentives are implemented through district authorities.,Women & Child Welfare,https://www.pmindia.gov.in/hi/government_tr_rec/%E0%A4%AC%E0%A5%87%E0%A4%9F%E0%A5%80-%E0%A4%AC%E0%A4%9A%E0%A4%BE%E0%A4%93-%E0%A4%AC%E0%A5%87%E0%A4%9F%E0%A5%80-%E0%A4%AA%E0%A4%A2%E0%A4%BC%E0%A4%BE%E0%A4%93-%E0%A4%AC%E0%A4%BE%E0%A4%B2/
National Means-cum-Merit Scholarship Scheme,Provides scholarships to meritorious students from economically weaker sections.,Students in Class 9 from families with an annual income below ₹1.5 lakh.,"Income certificate, school certificate.",Apply through the National Scholarship Portal.,Education,https://www.scholarships.gov.in/
PM eVIDYA,A unified platform for digital education to ensure inclusive learning.,Students and teachers in schools and higher education.,NA (Online access required).,Accessible through online portals and digital mediums.,Education,https://pmevidya.education.gov.in/
Digital India,Aims to transform India into a digitally empowered society and knowledge economy.,Citizens and businesses across India.,Depends on the specific initiative under Digital India.,Implemented through digital platforms and services.,Education,https://digitalindia.gov.in/
Atal Innovation Mission,"Encourages innovation and entrepreneurship in schools, universities, and startups.","Students, researchers, and entrepreneurs.",Depends on the specific initiative or grant application.,Implemented through various programs like Atal Tinkering Labs.,Skill Development & Employment,https://aim.gov.in/
Pradhan Mantri Fasal Bima Yojana,Provides crop insurance to farmers against natural calamities and pests.,Farmers cultivating notified crops in notified areas.,"Land ownership documents, Aadhaar card, bank details.",Apply through authorized banks or Common Service Centers (CSCs).,Agriculture & Rural Development,https://pmfby.gov.in/
PM Ujjwala Yojana,Provides free LPG connections to women from Below Poverty Line (BPL) households.,Women from BPL families identified through SECC data.,"Aadhaar card, BPL certificate, bank account details.",Apply through LPG distributors or online portals.,Energy and Women Empowerment,https://pmuy.gov.in/
Atal Mission for Rejuvenation and Urban Transformation (AMRUT),"Focuses on urban infrastructure development, particularly water supply and sewerage.",Urban local bodies (ULBs) in selected cities.,Urban project proposals and plans.,Implemented by municipal authorities and state governments.,Infrastructure & Urban Development,https://amrut.gov.in/
Pradhan Mantri Awas Yojana (PMAY),Aims to provide affordable housing for all by 2022.,"Urban poor, economically weaker sections, and low-income groups.","Aadhaar card, income certificate, and land ownership records.",Apply through municipal bodies or the official PMAY website.,Infrastructure & Urban Development,https://pmaymis.gov.in/
National Electric Mobility Mission Plan (NEMMP),Promotes electric and hybrid vehicles to reduce pollution and dependence on fossil fuels.,Automobile manufacturers and users of electric vehicles.,Depends on the specific initiative under the mission.,Implemented through subsidies and incentives.,Energy & Mobility,https://evyatra.beeindia.gov.in/central-govt-initiative-details/dhi-2/
PM Kaushal Vikas Yojana (PMKVY),A flagship skill development program providing training for employment opportunities.,Indian citizens aged 18-35 years seeking skill development.,"Aadhaar card, educational certificates, and residence proof.",Apply through PMKVY-affiliated training centers.,Skill Development & Employment,https://www.pmkvyofficial.org/
National Rural Drinking Water Programme (NRDWP),Ensures safe and adequate drinking water in rural areas.,Rural habitations and villages with inadequate water supply.,NA (Implemented at the community level).,Implemented through Gram Panchayats and state water departments.,Environment & Water Management,https://jalshakti-ddws.gov.in/
PM Swamitva Yojana,Provides property cards to rural property owners by mapping land parcels using drones.,Residents of rural areas with disputed or undocumented land ownership.,"Land ownership details, Aadhaar card.",Conducted by local authorities using drone mapping technology.,Agriculture & Rural Development,https://svamitva.nic.in/svamitva_hindi/
Pradhan Mantri Gramin Awas Yojana (PMAY-G),Provides affordable housing to rural poor.,Rural poor households listed in SECC 2011 data.,"Aadhaar card, land ownership documents.",Implemented through Gram Panchayats.,Infrastructure & Urban Development,https://pmawasgraminlist.com/
National Rural Livelihoods Mission (NRLM),Promotes self-employment and skill development in rural areas.,Poor households identified through SECC data.,"Identity proof, income proof.",Implemented through self-help groups (SHGs).,Agriculture & Rural Development,https://aajeevika.gov.in/
Pradhan Mantri Jan Dhan Yojana (PMJDY),Ensures financial inclusion by providing basic banking facilities to all households.,Unbanked individuals and households.,"Aadhaar card, identity proof.",Open an account at any participating bank or CSC.,Financial Inclusion,https://pmjdy.gov.in/
National Skill Development Mission (NSDM),Coordinates efforts for skill development across various sectors.,Youth and working-age population seeking skill development.,Educational and identity proofs.,Implemented through skill development centers and schemes.,Skill Development & Employment,https://www.skilldevelopment.gov.in/
National Health Mission (NHM),Strengthens healthcare delivery systems in rural and urban areas.,"General public, especially marginalized communities.",Depends on the specific program under NHM.,Implemented through public healthcare institutions.,Health & Nutrition,https://nhm.gov.in/
Stand Up India Scheme,"Promotes entrepreneurship among women, SC, and ST individuals.","Women, SC/ST entrepreneurs starting greenfield enterprises.","Business plan, identity proof, caste certificate.",Apply through banks or the Stand Up India portal.,Social Welfare & Empowerment,https://www.standupmitra.in/
Deendayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),Provides skill development training to rural youth for sustainable employment.,Rural youth aged 15-35 years from poor households.,"Aadhaar card, income certificate.",Apply through training centers under DDU-GKY.,Skill Development & Employment,https://ddugky.gov.in/
Digital India Programme,Transforms India into a digitally empowered society and knowledge economy.,"General public, businesses, and institutions.",Depends on the specific initiative.,Implemented through online platforms and services.,Education,https://digitalindia.gov.in/
Swachh Bharat Mission – Gramin,Aims to eliminate open defecation and improve sanitation in rural areas.,Rural households and villages.,NA (Implemented at the community level).,Implemented through local Panchayats and government programs.,Sanitation and Rural Development,https://swachhbharatmission.ddws.gov.in/
Atmanirbhar Bharat Abhiyan,Promotes self-reliance by boosting local manufacturing and economy.,"Businesses, industries, and general public.",Depends on the specific initiative.,Implemented through various government schemes and incentives.,Economic Development and Self-Reliance,https://cmsadmin.amritmahotsav.nic.in/aatmanirbhar-bharat-hi.htm
PM Awas Yojana (Urban),Provides affordable housing in urban areas.,"Urban poor, economically weaker sections, and low-income groups.","Aadhaar card, income certificate, and land ownership records.",Apply through municipal bodies or the official PMAY website.,Infrastructure & Urban Development,https://pmaymis.gov.in/
National Food Security Act (NFSA),Provides subsidized food grains to eligible households under Targeted Public Distribution System (TPDS).,Households identified under SECC data or BPL category.,"Ration card, Aadhaar card.",Apply through state food and civil supplies departments.,Social Welfare & Empowerment,https://nfsa.gov.in/
