user_id,user_name,gender,age,income,location,occupation,scheme_name,age_range
630838,Aditya329,Female,34,58569,Chennai,Farmer,Swachh Bharat Mission – Gramin,26-35
676521,Vivaan460,Female,43,50448,Hyderabad,Tailor,Atal Mission for Rejuvenation and Urban Transformation (AMRUT),36-45
490053,Diya711,Male,31,46338,Jaipur,Software Engineer,Rashtriya Gram Swaraj Abhiyan,26-35
411536,Ananya785,Female,57,29919,Lucknow,Doctor,PM Matritva Vandana Yojana,56-65
348857,Arjun999,Female,58,84303,Lucknow,Businessman,Pradhan Mantri Fasal Bima Yojana,56-65
557980,Harish825,Female,37,88426,Hyderabad,Driver,Atal Mission for Rejuvenation and Urban Transformation (AMRUT),36-45
305881,Sanjay867,Female,60,17754,Ranchi,Housewife,PM Ujjwala Yojana,56-65
554975,Aarav739,Female,32,45242,Bhopal,Teacher,PM SVANidhi,26-35
446868,Sanjay956,Female,60,95126,Mumbai,Teacher,Digital India Programme,56-65
145062,Priya769,Male,63,71376,Hyderabad,Student,Svamitva Yojana,56-65
705219,Kavya382,Male,24,10021,Chennai,Student,PM Jan Vikas Karyakaram,18-25
986133,Sunita690,Female,32,71615,Ranchi,Doctor,Samagra Shiksha,26-35
436731,Harish117,Male,23,54182,Chennai,Driver,PM eVIDYA,18-25
334046,Arjun641,Female,46,68258,Delhi,Blacksmith,National Health Mission (NHM),46-55
494518,Priya613,Female,44,36001,Lucknow,Software Engineer,Pradhan Mantri Awas Yojana (PMAY),36-45
675552,Ishita496,Female,18,72540,Lucknow,Businessman,PM SVANidhi,18-25
605453,Vivaan847,Male,46,53723,Bangalore,Tailor,Agnipath Scheme,46-55
790345,Sanjay965,Female,27,92976,Patna,Electrician,Beti Bachao Beti Padhao,26-35
126146,Aarav597,Female,43,29679,Guwahati,Postman,PM eVIDYA,36-45
101449,Sanjay461,Female,59,32243,Guwahati,Businessman,PM eVIDYA,56-65
695688,Rohan173,Female,38,53009,Ahmedabad,Software Engineer,Krishonnati Yojana,36-45
132450,Rohan480,Female,40,46359,Kolkata,Carpenter,PM Swamitva Yojana,36-45
726266,Vivaan920,Female,42,19213,Guwahati,Electrician,PM Awas Yojana (Urban),36-45
955444,Vivaan712,Male,29,82556,Patna,Housewife,Pradhan Mantri Krishi Sinchayee Yojana,26-35
965731,Kavya550,Female,22,98571,Patna,Vegetable Seller,Svamitva Yojana,18-25
329859,Rohan999,Male,52,15132,Thiruvananthapuram,Software Engineer,Atal Bhujal Yojana,46-55
415536,Kavya255,Male,26,71413,Chandigarh,Student,National Skill Development Mission (NSDM),26-35
649525,Priya149,Male,26,50635,Ahmedabad,Driver,Pradhan Mantri Krishi Sinchayee Yojana,26-35
903425,Ananya489,Female,24,75617,Lucknow,Tailor,Garib Kalyan Rojgar Abhiyaan,18-25
690714,Diya843,Male,45,49323,Bangalore,Carpenter,Agnipath Scheme,36-45
322863,Ananya569,Male,63,82598,Ranchi,Teacher,PM Ujjwala Yojana,56-65
752592,Priya163,Male,30,98257,Chandigarh,Merchant,PM Ujjwala Yojana,26-35
212658,Priya703,Male,30,79134,Chandigarh,Software Engineer,Digital India Programme,26-35
994140,Aditya362,Female,57,26236,Lucknow,Blacksmith,PM Ujjwala Yojana,56-65
276693,Rajesh664,Female,24,58992,Mumbai,Housewife,PM Kisan Samman Nidhi,18-25
758761,Ananya728,Female,44,67542,Mumbai,Farmer,Saubhagya Yojana,36-45
219740,Ritika174,Male,53,93622,Ranchi,Vegetable Seller,PM Annadata Aay Sanrakshan Abhiyan,46-55
543272,Vivaan200,Male,65,54731,Bhopal,Housewife,PM Matsya Sampada Yojana,56-65
217022,Sunita363,Female,24,88928,Lucknow,Student,PM Jan Vikas Karyakaram,18-25
